                           stepid  dayscons_ade dayscons_weeks_ade
dayscons_x              0.9811315017  0.0281823861     0.0281958872
dayscons_weeks_x        1.0000000000  0.0298293031     0.0298215404
dayscons_y              0.0298293031  1.0000000000     0.9999911070
dayscons_weeks_y        0.0298215404  0.9999911070     1.0000000000
certcode_ade            0.1063884506 -0.0898324125    -0.0897620439
certcode_mini           0.1123727028 -0.0388424939    -0.0387805731
certcode                0.0678825615  0.5272961083     0.5290765926
deprmd                 -0.0011618757 -0.1313497461    -0.1299077319
depsleep               -0.0038276757  0.0205161602     0.0204665956
depsleepcat            -0.0162645855 -0.0050203688    -0.0050327119
depinter                0.0132986482  0.0259345590     0.0258027121
depguilt               -0.0082034922 -0.0213524894    -0.0213786151
depenerg               -0.0061961891 -0.0213973029    -0.0215387515
depconcn               -0.0108681978 -0.0058232602    -0.0059025164
depappet                0.0201484259  0.0397048420     0.0397444985
deppmr                 -0.0206673881 -0.0083504117    -0.0084363646
dage1st                 0.0049245764  0.0432397266     0.0432846682
dage1stcat              0.0155826408  0.0165248940     0.0164705069
mage1st                 0.0272794105  0.0717536301     0.0717487984
mage1stcat             -0.0068389505  0.0499271789     0.0498145920
depsi                  -0.0085555927  0.0031243628     0.0031140645
depsicat                0.0091141135 -0.0834207393    -0.0824485966
depsev                 -0.0148377489 -0.0182285031    -0.0183834802
depse                  -0.0465266463 -0.0009102136    -0.0010854654
depdist                 0.0299538711  0.0141255920     0.0141697292
deppma                  0.0172233319 -0.0004698708    -0.0005043893
elvselfe               -0.0397434533 -0.0245520217    -0.0246790235
elvsleep                0.0247529227  0.0329187030     0.0328443381
elvtalk                 0.0043110095 -0.0095807025    -0.0095818135
elvfoi                  0.0196403430 -0.0274418228    -0.0274748324
elvdistr                0.0216021380 -0.0074323614    -0.0073808750
elvgdact               -0.0108735694 -0.0366310335    -0.0367228703
elvhrb                  0.0102970137 -0.0552445257    -0.0553697805
elvpma                  0.0110441308 -0.0083358880    -0.0083889638
majdepc                 0.0200167553  0.0261283203     0.0261931882
majdepp                 0.0335149786  0.0860184420     0.0860060912
moodgenc                0.0228384486  0.0812805956     0.0812652979
moodgenp                0.0267114918  0.0836908249     0.0836747109
moodsubc                0.0307092315  0.0842150477     0.0842108395
moodsubp                0.0253732835  0.0747286300     0.0747201738
manicc                  0.0319805666  0.0655022647     0.0654761258
hmanicc                 0.0338100064  0.0442140267     0.0441269601
manicp                 -0.0071101997  0.0574058678     0.0573079352
hmanicp                 0.0555997060  0.0361291059     0.0362184299
typeiic                 0.0312140644  0.0564791277     0.0566350177
typeiip                 0.0294270765  0.0548088818     0.0550243543
clinstat               -0.0005317125  0.0216374365     0.0214897066
manlast                 0.0104049873 -0.0737307791    -0.0737490459
deppast                 0.0175255114 -0.0552323878    -0.0552911121
mangenc                 0.0277012294  0.0873592722     0.0873619720
mangenp                 0.0280683722  0.0907092477     0.0907092898
hypogenc                0.0272798235  0.0867140598     0.0867153971
hypogenp                0.0287597029  0.0926984686     0.0927013169
mansubc                 0.0257054887  0.0871185883     0.0871099270
mansubp                 0.0330345470  0.0714055910     0.0714282459
hyposubc                0.0270467481  0.0862633504     0.0862568579
hyposubp                0.0417049725  0.0736741274     0.0736626098
anxdisc                 0.0243503531  0.0822784046     0.0822989653
anxdisp                 0.0224302055  0.0791955853     0.0792182160
anxsubc                 0.0261684843  0.0858201598     0.0858187024
anxsubp                 0.0207933669  0.0811599483     0.0811585160
pdnoagc                 0.0227619306  0.0532582771     0.0532606468
pdnoagp                 0.0283489598  0.0632535618     0.0633133666
pdagorc                 0.0587833775  0.0413265871     0.0413753592
pdagorp                 0.0713377070  0.0416819963     0.0416957436
agorc                   0.0339445502  0.0478800580     0.0478900761
agorp                   0.0217899633  0.0459647320     0.0460040073
phobiac                 0.0263907670  0.0413321837     0.0412473868
phobiap                 0.0319898115  0.0577024520     0.0576589519
ocdcur                  0.0293813519  0.0511536851     0.0511809681
ocdc                    0.0275929156  0.0531749347     0.0532013716
ocdpast                 0.0393892928  0.0510734450     0.0510989235
ocdp                    0.0394545991  0.0516941612     0.0517175205
ocdgenc                 0.0248102173  0.0858674760     0.0858630331
ocdgenp                 0.0237843609  0.0858828944     0.0858753544
ocdsubc                 0.0278748550  0.0881442249     0.0881379261
ocdsubp                 0.0261199393  0.0883917734     0.0883768452
ptsdcur                 0.0302848467  0.0295151480     0.0295092926
