              depresd       lessint     moodelev      curdepr     curenjoy
depslmax  0.0547634865  0.012093693  0.0516136398  0.059892762  0.0024579179
smspi     0.0167375557  0.078171523  0.0723054081  0.059300031  0.0538401389
smshallu  0.0161316777  0.070245139  0.0670373984  0.077140137  0.0476038994
smsior    0.0165193155  0.076857138  0.0738145334  0.062126336  0.0524433075
smsdelus  0.0150090157  0.070250685  0.0661097376  0.072727144  0.0483456130
smsocd    0.0153322985  0.072676256  0.0769037060  0.067626416  0.0492948245
             depconcn      depdist     depappet       deppmr      deppma
depresd  -0.029506315  0.018572287  0.010181802  0.019343520  0.01999154
lessint   0.008710438  0.013261119  0.005627591  0.015762568  0.01070626
moodelev  0.017580726  0.041672099  0.034239060  0.022987823  0.03898878
curdepr   0.029249402  0.032780928  0.021531403  0.039214634  0.03983820
curenjoy  0.030388127  0.034462145  0.017091072  0.030631554  0.04063873
curmania  0.028607561  0.026772030  0.018535309  0.029919145  0.02841990
abnirrit -0.007803453  0.036596742  0.034123451  0.013231436  0.04019994
curirrit  0.035005921  0.025145569  0.024114869  0.037124824  0.03467925
abnanx   -0.004683876  0.037599030  0.031038212  0.013401515  0.05348531
deprmd    0.021330303  0.016055644  0.011969605  0.024631620  0.01502069
depsleep  0.056494852  0.039203110  0.152677100  0.055345694  0.06444154
depinter  0.151604001  0.110012443  0.158904473  0.122447434  0.12806921
depguilt  0.150998699  0.179895215  0.116537712  0.167066894  0.17276776
depse     0.099926409  0.384310348  0.095498205  0.116727436  0.34630058
depenerg  0.136982503  0.103339642  0.110024441  0.088659631  0.08183956
depconcn  1.000000000  0.272885850  0.179721808  0.224093059  0.15709552
depdist   0.272885850  1.000000000  0.103477527  0.200091478  0.46474008
depappet  0.179721808  0.103477527  1.000000000  0.227133426  0.19017656
deppmr    0.224093059  0.200091478  0.227133426  1.000000000  0.33828843
deppma    0.157095517  0.464740077  0.190176560  0.338288433  1.00000000
elvselfe  0.077726635  0.092771247  0.100922717  0.127207253  0.12456927
elvsleep  0.075632229  0.068069501  0.103119473  0.110600736  0.10851799
elvtalk   0.122340033  0.088667805  0.132005026  0.153747850  0.09513787
elvfoi    0.083443053  0.070140883  0.087340564  0.090754360  0.08768225
elvdistr  0.158325621  0.125453500  0.110204863  0.149677445  0.12494348
elvgdact  0.104258460  0.092661092  0.079661683  0.198418052  0.08469116
elvpma    0.115227300  0.380796231  0.082662639  0.194207821  0.43754092
elvhrb    0.071598260  0.054519857  0.098211785  0.100276921  0.08196430
depsi     0.102310641  0.084186920  0.103794374  0.147328447  0.08859367
silnwl   -0.022960697 -0.005956802 -0.013694907 -0.004745930 -0.01454718
sipassiv -0.022902101 -0.006063698 -0.013630621 -0.004807539 -0.01535914
siactive -0.022830771 -0.005464358 -0.013598002 -0.004950706 -0.01471256
depslmin  0.024030248  0.066157635  0.021346504  0.031752823  0.07950147
depslmax  0.027575143  0.073610892  0.022891033  0.037474103  0.07680393
smspi     0.063199586  0.068328301  0.034135162  0.043400953  0.06832952
smshallu  0.045095055  0.070925304  0.038644338  0.042622274  0.07220907
smsior    0.056479296  0.053917738  0.042690840  0.047450229  0.06169539
smsdelus  0.063172081  0.081382267  0.029909012  0.051350080  0.07956101
smsocd    0.059248485  0.062811857  0.040104409  0.048767729  0.06304942
             elvselfe     elvsleep      elvtalk      elvfoi    elvdistr
depresd  -0.050823739  0.030725567  0.001104763 0.023665064 0.065416849
lessint   0.008072244  0.003829338 -0.003311573 0.002820742 0.029654995
moodelev  0.044073156 -0.004065153  0.058395670 0.059314707 0.064980514
curdepr   0.016646025  0.012860028  0.034384292 0.017448531 0.050627370
curenjoy  0.033488673  0.031573644  0.026937951 0.013245898 0.065360653
curmania  0.020257967  0.006637052  0.034621223 0.017307674 0.042115153
abnirrit -0.011593446  0.013616717  0.034188971 0.049653330 0.047745238
curirrit  0.033414714  0.036275096  0.039788417 0.036152633 0.067137840
abnanx   -0.023172014  0.024674441  0.020106124 0.029686913 0.032664283
deprmd    0.023921682  0.015593691  0.007632724 0.009763416 0.031864150
depsleep  0.049653830  0.090411654  0.063394395 0.057520991 0.055276445
depinter  0.132339756  0.123068271  0.112262799 0.071793697 0.158479229
depguilt  0.106849248  0.128253331  0.066392242 0.046523080 0.094206168
depse     0.106681735  0.088209461  0.085102450 0.075123871 0.084842919
depenerg  0.054952725  0.040921616  0.097542583 0.054842360 0.125074467
depconcn  0.077726635  0.075632229  0.122340033 0.083443053 0.158325621
depdist   0.092771247  0.068069501  0.088667805 0.070140883 0.125453500
depappet  0.100922717  0.103119473  0.132005026 0.087340564 0.110204863
deppmr    0.127207253  0.110600736  0.153747850 0.090754360 0.149677445
deppma    0.124569273  0.108517987  0.095137866 0.087682246 0.124943476
elvselfe  1.000000000  0.426086638  0.282335130 0.279302999 0.317884312
elvsleep  0.426086638  1.000000000  0.390104478 0.351425069 0.367935523
elvtalk   0.282335130  0.390104478  1.000000000 0.468398340 0.398133558
elvfoi    0.279302999  0.351425069  0.468398340 1.000000000 0.362967509
elvdistr  0.317884312  0.367935523  0.398133558 0.362967509 1.000000000
elvgdact  0.170266745  0.137401318  0.195660267 0.160997798 0.162964696
elvpma    0.139445098  0.194969388  0.166314710 0.136279302 0.182426513
elvhrb    0.206061080  0.227417217  0.228175043 0.245238443 0.191700614
depsi     0.031313563  0.057582158  0.072307545 0.088804598 0.083764566
silnwl   -0.049956469  0.003964655 -0.010690166 0.004339800 0.005586802
sipassiv -0.049898074  0.005366033 -0.010690296 0.004235924 0.007277636
siactive -0.049749050  0.003906850 -0.010771709 0.004176465 0.007262569
depslmin  0.001706355  0.028767880  0.014611260 0.015220095 0.024004452
depslmax  0.005485050  0.032509599  0.013092809 0.014262705 0.027919925
smspi     0.061191814  0.068099267  0.012272958 0.020842631 0.033610260
smshallu  0.053851149  0.061974914  0.008648743 0.016387194 0.028052171
smsior    0.059913802  0.067370392  0.010049484 0.018309076 0.030652750
smsdelus  0.062600368  0.061027498  0.008823447 0.026742475 0.028154809
smsocd    0.065618481  0.072994583  0.009368854 0.028462757 0.029213055
             elvgdact        elvpma       elvhrb        depsi       silnwl
depresd  -0.012333100  0.0017279777  0.010177976  0.032420054  0.179588915
lessint   0.006443097 -0.0005223627 -0.002524002 -0.009592298 -0.394430825
moodelev  0.016265154  0.0151214721  0.023980720  0.013901497 -0.010476265
curdepr   0.015377139  0.0307365037  0.004268471  0.028702658 -0.007974761
