                  tryhsui       deprmd     depsleep  depsleepcat      depinter
gadsubc      0.0633119541 -0.084033802  0.032918350  0.031223223  0.0510455269
gadsubp      0.0632978837 -0.084052810  0.032919721  0.031236398  0.0508496733
addkidc      0.0255459623 -0.135210204  0.022189852  0.042835967  0.0294485780
addkidp      0.0230542171 -0.105645147  0.023534750  0.040691712  0.0333826938
addadltc     0.0588113451 -0.081510904  0.032395551  0.030563318  0.0500539583
addadltp     0.0589635013 -0.081485175  0.032417768  0.030586505  0.0500671824
                depguilt    depconcn     depappet        deppmr      dage1st
tryhsui     -0.018881576 -0.01235431 -0.008030389 -0.0175518927  0.021294634
deprmd       0.003076004  0.02328249  0.010503838 -0.0028526929 -0.014913071
depsleep     0.235737959  0.39649606  0.487084758  0.3519938500  0.048402927
depsleepcat  0.191524921  0.32843356  0.398676513  0.2802832882  0.055574448
depinter     0.201855613  0.35239943  0.424112392  0.2964228572  0.012773417
depguilt     1.000000000  0.25879082  0.231990784  0.2211021085  0.031803105
depconcn     0.258790823  1.00000000  0.537079109  0.3748222935  0.016830564
depappet     0.231990784  0.53707911  1.000000000  0.4616470738  0.025333821
deppmr       0.221102109  0.37482229  0.461647074  1.0000000000  0.033865791
dage1st      0.031803105  0.01683056  0.025333821  0.0338657913  1.000000000
dage1stcat   0.033966767  0.01704365  0.033056669  0.0345845002  0.965316811
mage1st      0.066658532  0.09254428  0.033345507  0.0373008285  0.302599286
mage1stcat   0.072540958  0.10117469  0.043710137  0.0444402489  0.288493718
depsi        0.259347015  0.58543824  0.714886945  0.5095710345  0.029235709
depsicat    -0.011571048  0.02841942  0.014802592  0.0005226596 -0.006410932
depenerg     0.232407393  0.40278419  0.485399529  0.4571986573  0.045901679
depsev       0.011344485  0.00693906  0.024262533  0.0570104662  0.019736334
depse        0.187182866  0.32398796  0.290846562  0.2016360808  0.013909357
depdist      0.317471785  0.30520024  0.373581938  0.2661694339  0.043284057
deppma       0.250910951  0.28414775  0.346979629  0.3055480714  0.034127488
elvselfe     0.280451415  0.49598725  0.593335870  0.4192909274  0.032141467
hxsui        0.051902206  0.04958078  0.069867943  0.1167307362  0.231577739
elvsleep     0.336789652  0.56014630  0.686198179  0.4917874042  0.046634323
elvtalk      0.327596461  0.55984944  0.687074742  0.4881766948  0.046299503
elvfoi       0.285662600  0.48597881  0.593241036  0.4215065788  0.036526426
elvdistr     0.284225918  0.47998466  0.593980549  0.4252417911  0.034952331
elvgdact     0.183593866  0.24164073  0.289080395  0.3410663534  0.035876360
elvhrb       0.259254845  0.44164799  0.535540310  0.3839952014  0.029788482
elvpma       0.196744501  0.25164471  0.307367361  0.2933168920  0.062382745
majdepc      0.026346976 -0.01338901 -0.010833335 -0.0186021673  0.080375642
majdepp      0.026670763 -0.01299415 -0.010699569 -0.0186517931  0.082598385
moodgenc     0.026867177 -0.01301670 -0.010597006 -0.0185574674  0.081676841
moodgenp     0.026877361 -0.01301588 -0.010598070 -0.0185552447  0.081696365
moodsubc     0.026727919 -0.01313824 -0.010630896 -0.0185612126  0.084426690
moodsubp     0.026642938 -0.01312904 -0.010613993 -0.0185380274  0.084430393
manicc       0.026701436 -0.01319569 -0.010793925 -0.0188854550  0.081105188
hmanicc      0.026493507 -0.01284513 -0.010654087 -0.0188446361  0.077080694
manicp       0.026451739 -0.01312433 -0.010831149 -0.0190163822  0.076938428
hmanicp      0.026794900 -0.01257761 -0.010442649 -0.0187174007  0.077594829
typeiic      0.027025195 -0.01299493 -0.010521225 -0.0025368539  0.084390580
typeiip      0.027041949 -0.01298408 -0.010640191 -0.0025969038  0.084559778
clinstat     0.016425059  0.02750889  0.004970934 -0.0112134934 -0.011790065
manlast      0.020934655  0.05869048  0.024515661  0.0249975772  0.196306707
deppast      0.057778868  0.03265038  0.023218867  0.0377964549  0.244057984
mangenc      0.026778371 -0.01304934 -0.010626587 -0.0186421940  0.081223980
mangenp      0.026783017 -0.01304728 -0.010629688 -0.0186379173  0.081238948
hypogenc     0.026778693 -0.01304787 -0.010626064 -0.0186419469  0.081194384
hypogenp     0.026780861 -0.01304149 -0.010622294 -0.0186390675  0.081200842
mansubc      0.026781421 -0.01304530 -0.010626910 -0.0186411228  0.081209056
mansubp      0.026724781 -0.01300642 -0.010589899 -0.0185809329  0.081293394
